Species,CommonName,PrimaryColor,SecondaryColor,WingShape,Pattern,Eyespot,Size,Location,ImagePath,QuickFact,CaterpillarHostPlants,SexuallyDimorphic
Adelpha fessonia,Banded Mexican,Brown,White,2.0,Striped,N,S,North America,/static/icons/default.png,These butterflies are known as sisters because of the white markings on their wings which resemble a nun's habit. ,Celtis lindheimeri,No
Anteos clorinde,White Angled Sulphur,Yellow,Green,4.0,None,N,M,South America,/static/photos/anteos-chlorinde.jpg,These butterflies are very fast fliers. They can often be found in large groups drinking from mud puddles to absorb minerals - a behavior called puddling.,"Cassia emarginata, Senna spectablis",No
Archaeoprepona demophon,Banded King Shoemaker,Brown,Blue,2.0,Striped,Y,M,North America,/static/icons/default.png,"Males perch on tree trunks or on foliage, sitting facing head-downwards and with wings half open. They take part in impressive aerial sorties, chasing each other in broad circles around the tree tops. After each sortie they each return to their original perch.","Persea americana,  Malpigia glabra",No
Argema mimosae,African Moon Moth,Green,Yellow,5.0,Veination,Y,L,Africa,/static/icons/default.png,"When the larvae hatch on Sclerocarya birrea, which produces edible fruit, they are considered pest because they will do considerable damage to the plant. ","Sclerocarya birrea, Spirostachys africana, Excoecaria africana",No
Ascia limona,Creamy White,White,Black,4.0,None,N,M,South America,/static/photos/ascia-limona.jpg,"These butterflies are part of the Sulfur Family, Pieridae, named for their white and yellow colors. Their caterpillars tend to feed on plants in the mustard and cabbage families.","Lepidium virginicum, Batis maritima, Cleome spinosa",No
Attacus atlas,Atlas Moth,Red,Brown,5.0,Mottled,Y,L,Asia,/static/icons/default.png,These moths are considered the largest butterfly or moth by surface area. The White Witch Moth (Thsania agrippina) has the largest wingspan. ,"Citrus sp, Cinnamomum sp",Yes
Battus belus,Belus Swallowtail,Black,White,3.0,None,N,M,South America,/static/icons/default.png,"These butterflies are nectar drinkers, but males are often found absorbing mineralalized moisture from the side of streams.",Aristolochia sp,No
Battus philenor,Pipevine Swallowtail,Black,Blue,3.0,Spots,N,L,North America,/static/icons/default.png,"These butterflies are nectar drinkers, but males are often found absorbing mineralalized moisture from the side of streams.","Aristolochia californica, Aristolochia serpentaria",No
Caligo atreus,Giant Owl Butterfly,Brown,White,4.0,Mottled,Y,L,South America,/static/icons/default.png,Since one of their host plants is the banana plant the Owl Butterfly is considered a pest in areas where bananas are grown. They are such a big pest that work is being done with parasitic wasps to find a biological control agent. ,"Heliconia sp, Musa sp",No
Caligo eurilochus,Forest Owl Butterfly,Brown,White,4.0,Mottled,Y,L,South America,/static/photos/caligo-eurilochus.jpg,"This is the largest of the Owl Butterflies, named for the large eyespot on the underside of the hind wings. Eyespots are a common defense coloration in the insect world, flashed suddenly to startle a predator away. ","Heliconia sp, Musa sp",No
